,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,fixed_sulfur_dioxide
0,7.0,0.27,0.36,13.0,0.045,45.0,170.0,0.9978,3.01,0.45,8.8,6,125.0
1,6.3,0.3,0.34,1.6,0.049,15.0,132.0,0.994,3.3,0.49,9.5,6,117.0
2,8.0,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,6,67.0
3,7.2,0.23,0.32,8.5,0.058,47.0,186.0,0.9956,3.19,0.4,9.9,6,139.0
4,6.2,0.32,0.22,7.0,0.045,30.0,136.0,0.9949,3.18,0.47,9.6,6,106.0
5,8.0,0.22,0.43,1.5,0.044,28.0,129.0,0.9938,3.22,0.45,11.0,6,101.0
6,8.0,0.27,0.41,1.45,0.033,15.0,86.0,0.9908,3.01,0.56,12.0,5,71.0
7,8.0,0.23,0.4,4.2,0.035,17.0,109.0,0.9947,3.14,0.53,9.7,5,92.0
8,7.9,0.18,0.37,1.2,0.04,16.0,86.0,0.992,3.18,0.63,10.8,5,70.0
9,6.6,0.17,0.4,1.5,0.044,48.0,143.0,0.9912,3.39,0.52,12.4,7,95.0
10,8.0,0.4,0.49,13.0,0.04,41.0,172.0,0.9978,3.01,0.64,9.7,5,131.0
11,6.6,0.17,0.38,1.5,0.032,28.0,112.0,0.9914,3.25,0.55,11.4,7,84.0
12,6.3,0.4,0.22,1.2,0.046,30.0,99.0,0.9928,3.24,0.36,9.6,6,69.0
13,6.2,0.4,0.48,1.2,0.03,29.0,86.0,0.99022,3.33,0.39,12.8,8,57.0
14,7.4,0.34,0.42,1.2,0.033,17.0,171.0,0.9917,3.12,0.53,11.3,6,154.0
15,6.5,0.31,0.22,7.5,0.044,34.0,133.0,0.9955,3.22,0.5,9.5,5,99.0
16,6.4,0.31,0.38,2.9,0.038,19.0,102.0,0.9912,3.17,0.36,11.0,7,83.0
17,6.8,0.26,0.42,1.7,0.049,41.0,122.0,0.993,3.39,0.48,10.5,8,81.0
18,7.6,0.4,0.22,1.5,0.058,25.0,168.0,0.9937,3.05,0.51,9.3,5,143.0
19,6.6,0.27,0.41,1.3,0.052,16.0,142.0,0.9951,3.39,0.47,10.0,6,126.0
20,7.0,0.25,0.32,9.0,0.046,56.0,195.0,0.9955,3.25,0.5,10.4,6,139.0
21,6.9,0.24,0.35,1.2,0.052,35.0,146.0,0.993,3.39,0.44,10.0,6,111.0
22,7.0,0.28,0.39,8.7,0.051,32.0,141.0,0.9961,3.38,0.53,10.5,6,109.0
23,7.4,0.27,0.48,1.2,0.047,17.0,132.0,0.9914,3.19,0.49,11.6,6,115.0
24,7.2,0.32,0.36,2.0,0.033,37.0,114.0,0.9906,3.1,0.64,12.3,7,77.0
25,8.0,0.24,0.39,10.4,0.044,20.0,142.0,0.9974,3.2,0.53,10.0,6,122.0
26,8.0,0.17,0.34,1.2,0.042,15.0,86.0,0.9934,3.39,0.4,10.2,6,71.0
27,7.4,0.25,0.36,2.05,0.05,31.0,100.0,0.992,3.19,0.44,10.8,6,69.0
28,6.2,0.17,0.34,1.5,0.045,43.0,117.0,0.9939,3.39,0.51,9.0,6,74.0
29,5.8,0.27,0.22,13.0,0.044,22.0,179.0,0.9962,3.37,0.37,10.2,5,157.0
30,7.3,0.28,0.43,1.7,0.058,21.0,123.0,0.9905,3.19,0.42,12.8,5,102.0
31,6.5,0.39,0.23,5.4,0.051,25.0,149.0,0.9934,3.24,0.36,10.0,5,124.0
32,7.0,0.33,0.32,1.2,0.053,38.0,138.0,0.9906,3.13,0.36,11.2,6,100.0
33,7.3,0.24,0.39,13.0,0.057,45.0,149.0,0.9978,3.21,0.36,8.6,5,104.0
34,6.7,0.23,0.39,2.5,0.058,57.0,158.0,0.9937,3.11,0.36,9.4,6,101.0
35,6.7,0.24,0.39,2.9,0.058,57.0,157.0,0.9937,3.1,0.36,9.4,6,100.0
36,7.0,0.31,0.26,7.4,0.058,28.0,160.0,0.9954,3.13,0.46,9.8,6,132.0
37,6.6,0.24,0.27,1.4,0.057,33.0,152.0,0.9934,3.22,0.56,9.5,6,119.0
38,6.7,0.23,0.26,1.4,0.058,33.0,154.0,0.9934,3.24,0.56,9.5,6,121.0
39,7.4,0.18,0.31,1.4,0.058,38.0,167.0,0.9931,3.16,0.53,10.0,7,129.0
40,6.2,0.4,0.26,4.4,0.058,57.0,195.0,0.994,3.27,0.52,9.8,4,138.0
41,6.2,0.4,0.25,4.4,0.058,57.0,195.0,0.9939,3.25,0.52,9.8,5,138.0
42,6.9,0.19,0.35,5.0,0.058,32.0,150.0,0.995,3.36,0.48,9.8,5,118.0
43,7.2,0.19,0.31,1.6,0.058,31.0,173.0,0.9917,3.35,0.44,11.7,6,142.0
44,6.6,0.25,0.29,1.2,0.058,39.0,124.0,0.9914,3.34,0.58,11.0,7,85.0
45,6.2,0.17,0.33,1.2,0.057,21.0,86.0,0.991,3.32,0.46,10.9,7,65.0
46,6.4,0.18,0.35,1.2,0.045,39.0,108.0,0.9911,3.31,0.36,10.9,6,69.0
47,6.8,0.2,0.49,1.2,0.058,38.0,132.0,0.993,3.05,0.38,9.1,6,94.0
48,6.9,0.25,0.35,1.3,0.039,29.0,191.0,0.9908,3.13,0.52,11.0,6,162.0
49,7.2,0.21,0.34,11.9,0.043,37.0,195.0,0.9962,3.09,0.5,9.6,6,158.0
50,6.0,0.19,0.26,12.4,0.048,50.0,147.0,0.9972,3.3,0.36,8.9,6,97.0
51,6.6,0.38,0.22,4.6,0.044,25.0,86.0,0.9931,3.11,0.38,10.2,6,61.0
52,7.4,0.2,0.36,1.2,0.038,44.0,111.0,0.9926,3.36,0.36,9.9,6,67.0
53,6.8,0.22,0.24,4.9,0.058,30.0,123.0,0.9951,3.03,0.46,8.6,6,93.0
54,7.0,0.4,0.22,1.2,0.035,17.0,151.0,0.991,3.02,0.36,10.5,5,134.0
55,7.2,0.24,0.27,1.4,0.038,31.0,122.0,0.9927,3.15,0.46,10.3,6,91.0
56,6.2,0.35,0.22,1.2,0.058,29.0,120.0,0.9934,3.22,0.54,9.1,5,91.0
57,6.4,0.26,0.24,6.4,0.04,27.0,124.0,0.9903,3.22,0.49,12.6,7,97.0
58,6.7,0.25,0.22,1.2,0.041,57.0,174.0,0.992,3.14,0.42,9.8,5,117.0
59,6.7,0.23,0.31,2.1,0.046,30.0,96.0,0.9926,3.33,0.64,10.7,8,66.0
60,7.4,0.24,0.29,10.1,0.05,21.0,105.0,0.9962,3.13,0.36,9.5,5,84.0
61,6.2,0.27,0.43,7.8,0.056,48.0,195.0,0.9956,3.1,0.51,9.0,6,147.0
62,6.8,0.3,0.23,4.6,0.058,50.5,195.0,0.9958,3.32,0.6,9.5,5,144.5
63,6.0,0.27,0.28,4.8,0.058,31.0,195.0,0.9964,3.39,0.64,10.0,5,164.0
64,8.0,0.23,0.46,1.2,0.054,15.0,86.0,0.9941,3.01,0.49,9.1,6,71.0
65,7.1,0.18,0.36,1.4,0.043,31.0,87.0,0.99022,3.26,0.37,12.7,7,56.0
66,7.0,0.32,0.34,1.3,0.042,20.0,86.0,0.9912,3.31,0.64,12.0,7,66.0
67,7.4,0.18,0.3,8.8,0.058,26.0,103.0,0.9961,3.01,0.56,9.3,5,77.0
68,6.7,0.4,0.28,5.4,0.058,21.0,105.0,0.9949,3.27,0.37,9.0,5,84.0
69,6.8,0.22,0.31,1.4,0.053,34.0,114.0,0.9929,3.39,0.64,10.6,6,80.0
70,7.1,0.2,0.34,13.0,0.05,51.0,166.0,0.9978,3.21,0.6,9.2,6,115.0
71,7.1,0.34,0.22,6.1,0.058,47.0,164.0,0.9946,3.17,0.42,10.0,5,117.0
72,7.3,0.22,0.3,8.2,0.047,42.0,195.0,0.9966,3.33,0.46,9.5,6,153.0
73,7.1,0.4,0.49,11.8,0.045,54.0,155.0,0.9974,3.11,0.45,8.7,5,101.0
74,7.1,0.4,0.49,11.8,0.044,52.0,152.0,0.9975,3.12,0.46,8.7,6,100.0
75,7.2,0.39,0.49,11.0,0.044,55.0,156.0,0.9974,3.09,0.44,8.7,6,101.0
76,6.8,0.25,0.31,13.0,0.05,57.0,195.0,0.9972,3.22,0.48,9.7,6,138.0
77,6.1,0.27,0.43,7.5,0.049,57.0,195.0,0.9957,3.12,0.47,9.0,5,138.0
78,6.9,0.24,0.33,1.7,0.035,47.0,136.0,0.99022,3.26,0.4,12.6,7,89.0
79,6.9,0.21,0.33,1.8,0.034,48.0,136.0,0.99022,3.25,0.41,12.6,7,88.0
80,7.5,0.17,0.32,1.7,0.04,51.0,148.0,0.9916,3.21,0.44,11.5,7,97.0
81,7.1,0.26,0.29,12.4,0.044,57.0,195.0,0.9969,3.04,0.42,9.2,6,138.0
82,6.0,0.34,0.49,13.0,0.046,26.0,164.0,0.9978,3.14,0.5,8.8,6,138.0
83,8.0,0.265,0.36,1.2,0.034,15.0,86.0,0.9913,3.01,0.36,11.4,7,71.0
84,8.0,0.36,0.46,10.5,0.038,15.0,86.0,0.9956,3.01,0.36,10.1,4,71.0
85,7.4,0.25,0.37,13.0,0.058,52.0,192.0,0.9975,3.01,0.44,9.1,5,140.0
86,7.1,0.17,0.32,9.6,0.054,57.0,162.0,0.9962,3.39,0.41,9.4,5,105.0
87,6.0,0.21,0.24,12.1,0.05,55.0,164.0,0.997,3.34,0.39,9.4,5,109.0
88,7.5,0.305,0.4,13.0,0.058,44.0,170.0,0.9978,3.01,0.46,9.0,5,126.0
89,7.3,0.17,0.32,13.0,0.051,34.0,109.0,0.9974,3.2,0.36,9.2,6,75.0
90,7.1,0.23,0.35,13.0,0.04,57.0,171.0,0.9978,3.16,0.59,9.1,6,114.0
91,6.9,0.33,0.28,1.3,0.051,37.0,187.0,0.9927,3.27,0.6,10.3,5,150.0
92,6.5,0.17,0.49,8.5,0.058,57.0,163.0,0.9959,3.01,0.39,8.8,6,106.0
93,7.2,0.27,0.46,13.0,0.052,45.0,195.0,0.9978,3.04,0.52,8.9,5,150.0
94,7.2,0.31,0.49,13.0,0.056,57.0,195.0,0.9978,3.01,0.47,9.2,5,138.0
95,6.7,0.4,0.34,9.2,0.049,29.0,150.0,0.9968,3.22,0.51,9.1,5,121.0
96,5.8,0.4,0.22,1.5,0.058,15.0,103.0,0.994,3.39,0.4,9.7,4,88.0
97,6.0,0.31,0.24,3.3,0.041,25.0,143.0,0.9914,3.31,0.44,11.3,6,118.0
98,7.0,0.17,0.4,1.7,0.035,16.0,86.0,0.9911,3.19,0.42,11.8,6,70.0
99,7.3,0.32,0.48,13.0,0.058,57.0,195.0,0.9978,3.04,0.5,9.2,5,138.0
100,5.9,0.36,0.22,5.7,0.046,21.0,87.0,0.9934,3.22,0.51,10.2,5,66.0
101,7.8,0.24,0.32,12.2,0.054,42.0,138.0,0.9978,3.01,0.54,8.8,5,96.0
102,7.4,0.17,0.31,6.85,0.058,31.0,131.0,0.9952,3.29,0.36,9.7,5,100.0
103,6.9,0.19,0.28,5.0,0.058,15.0,146.0,0.9952,3.29,0.36,9.1,6,131.0
104,6.4,0.17,0.47,1.6,0.058,40.0,158.0,0.9928,3.21,0.36,9.8,6,118.0
105,6.7,0.19,0.36,1.2,0.03,57.0,143.0,0.9912,3.27,0.48,11.0,6,86.0
106,7.4,0.39,0.23,7.0,0.033,29.0,126.0,0.994,3.14,0.42,10.5,5,97.0
107,6.5,0.24,0.32,7.6,0.038,48.0,195.0,0.9958,3.39,0.54,9.7,7,147.0
108,6.1,0.3,0.49,2.8,0.044,47.0,179.0,0.9924,3.3,0.57,10.9,7,132.0
109,6.1,0.3,0.49,2.7,0.046,46.0,184.0,0.9924,3.31,0.57,10.9,6,138.0
110,5.8,0.26,0.25,10.4,0.03,15.0,86.0,0.994,3.39,0.37,10.6,5,71.0
111,6.5,0.4,0.4,13.0,0.038,57.0,195.0,0.9978,3.23,0.57,9.0,5,138.0
112,6.6,0.24,0.27,13.0,0.035,46.0,188.0,0.9978,3.24,0.51,9.2,5,142.0
113,6.8,0.27,0.22,8.1,0.034,55.0,195.0,0.9961,3.19,0.52,8.9,5,140.0
114,6.7,0.27,0.31,13.0,0.036,44.0,179.0,0.9978,3.26,0.56,9.6,5,135.0
115,8.0,0.23,0.4,1.2,0.03,36.0,121.0,0.992,3.12,0.38,10.7,6,85.0
116,7.1,0.37,0.49,10.5,0.045,49.0,155.0,0.9975,3.16,0.44,8.7,5,106.0
117,6.8,0.19,0.36,1.9,0.035,30.0,96.0,0.9917,3.15,0.54,10.8,7,66.0
118,8.0,0.28,0.39,1.9,0.03,18.0,86.0,0.9923,3.23,0.52,11.8,6,68.0
119,6.3,0.31,0.34,2.2,0.045,20.0,86.0,0.9927,3.3,0.43,10.2,5,66.0
120,7.9,0.21,0.4,1.2,0.039,38.0,107.0,0.992,3.21,0.54,10.8,6,69.0
121,8.0,0.21,0.41,4.3,0.036,24.0,99.0,0.9947,3.18,0.53,9.7,6,75.0
122,8.0,0.2,0.4,2.0,0.037,19.0,87.0,0.9921,3.12,0.54,11.2,6,68.0
123,6.3,0.255,0.37,1.2,0.04,37.0,114.0,0.9905,3.01,0.39,10.9,6,77.0
124,5.8,0.17,0.27,1.4,0.044,53.0,168.0,0.9918,3.28,0.37,10.1,6,115.0
125,6.4,0.4,0.22,5.2,0.058,15.0,97.0,0.9951,3.38,0.36,9.0,4,82.0
126,6.3,0.34,0.33,4.6,0.034,19.0,86.0,0.9917,3.38,0.58,12.0,7,67.0
127,6.9,0.25,0.3,4.1,0.054,23.0,116.0,0.994,3.01,0.38,9.4,6,93.0
128,7.9,0.22,0.38,8.0,0.043,46.0,152.0,0.9934,3.12,0.36,11.5,7,106.0
129,7.6,0.18,0.46,10.2,0.055,57.0,135.0,0.9968,3.14,0.43,9.9,6,78.0
130,7.2,0.18,0.41,1.2,0.048,41.0,97.0,0.9919,3.14,0.45,10.4,5,56.0
131,8.0,0.23,0.4,7.5,0.049,15.0,86.0,0.9966,3.06,0.64,9.7,6,71.0
132,7.4,0.24,0.42,13.0,0.058,48.0,195.0,0.9978,3.01,0.42,8.9,6,147.0
133,6.1,0.32,0.24,1.5,0.036,38.0,124.0,0.99022,3.29,0.42,12.4,7,86.0
134,5.8,0.4,0.22,1.4,0.036,43.0,119.0,0.99022,3.36,0.36,12.1,8,76.0
135,6.4,0.22,0.49,13.0,0.055,27.0,159.0,0.9978,3.01,0.4,9.1,5,132.0
136,6.3,0.36,0.3,4.8,0.049,15.0,86.0,0.9932,3.28,0.39,10.6,5,71.0
